K,G,f_c2h6 (kg/s/m),f_c2h6_err (kg/s/m),f_c2h6_err (%),f_c2h6_err_term1_avg (%),f_c2h6_err_term2_avg (%),f_c2h6_err_term3_avg (%),C_c2h6_avg (kg/m^3),C_c2h6_err_avg (kg/m^3),C_c2h6_err_avg (%),C_c2h6_err_term1_avg (%),C_c2h6_err_term2_avg (%),chi_c2h6_avg (ppb),chi_c2h6_err_avg (ppb),chi_c2h6_err_avg (%),chi_c2h6_err_term1_avg (%),chi_c2h6_err_term2_avg (%),rho_avg (kg/m^3),rho_err_avg (kg/m^3),rho_err_avg (%),xwind_avg (m/s),xwind_avg_err (m/s),xwind_avg_err (%),dt_avg (s),dt_err_avg (s),dt_err_avg (%),vh_avg (s),vh_err_avg (s),ds_avg (s),ds_err_avg (s),ds_err_avg (%),z_avg (m),z_std (m),Start_UTC,End_UTC,z_low (m),z_high (m),delta_z (m),F_tot_k (kg/s),F_tot_k_err (kg/s),F_tot_k_err_term1 (%),F_tot_k_err_term2 (%)
0,0,0.0006557961696299,0.0001095466608127,1107.8022551710358,0.6507171492995392,59.49420585823812,39.85507699246234,4.310792422694335e-06,5.4268945337060575e-08,2.497028504573502,0.4194786266830219,99.58052137331694,3.509157861839592e-06,3.458669380378162e-09,1.4754893548713102,2.089882697811696,97.9101173021883,1.1827143144084324,0.0147350146593146,1.245863780938163,-0.9534795976652302,0.2184293386202429,-0.7681025639626695,1.1001545714285714,0.1,9.08963182056755,1.9584540060159688,2.792792505660555,2.1546021276510667,0.2040440334595724,9.547976901363526,8.841497639999993,0.0631646236416439,2022-11-15 18:06:42.479954,2022-11-15 18:07:42.387855,8.381507078620686,9.813485212857142,1.4319781342364557,0.0009390857754260385,0.0001622454216533148,6.518395029266978,93.481604970733
1,0,0.0006535315909105,7.862964020651574e-05,420.7900555654449,1.0979982309313283,36.47017983538234,62.43182193368633,3.2773306760612623e-06,4.2084661809115614e-08,6.351959029332131,0.4860757658640548,99.51392423413596,2.6691433682724204e-06,3.458669380378162e-09,5.564794697756897,2.089882697811696,97.9101173021883,1.1830209427729086,0.0147352978179796,1.245563924343177,-2.5833693404473594,0.2057420538508234,-6.896925801150026,1.0833540416666665,0.1,9.23059278443793,2.12688067368788,3.522651571240694,2.304164773982487,0.2216833871194506,10.283057061711878,6.075250759999992,0.0543340142476383,2022-11-15 18:07:47.386928,2022-11-15 18:08:43.387518,6.036657817499995,6.377690845517234,0.34103302801723956,0.00022287585735313167,4.449662070261292e-05,63.68288011360672,36.31711988639326
2,0,0.0019319927850003,0.0002434089289924,1181.237644199825,0.947444917297316,42.32758351211205,56.72497157059063,1.4380926470305484e-05,1.801901753976631e-07,13.912630352882422,0.0228108166758559,99.97718918332416,1.1712116763367854e-05,3.458669380378162e-09,13.014848748216398,2.089882697811696,97.9101173021883,1.182936832749962,0.0147374037726464,1.2458314464144618,-2.260042523170834,0.1877513886873073,-7.659835387891116,1.0714218214285711,0.1,9.33339213370378,1.5084835677888884,21.86131079453965,1.6162222117954403,0.1671137007911352,27.455273123393347,7.921516517241377,0.1034680493444473,2022-11-15 18:08:47.387223,2022-11-15 18:09:43.387636,7.300823724137927,8.381507078620686,1.0806833544827592,0.0020878724437306123,0.00033038471316677577,36.60864332291085,63.391356677089135
3,0,0.0001094698848832,1.523053572661059e-05,239.9348233061037,0.8445379069757539,45.80938987471321,53.34607221831104,1.2268784832867158e-06,1.7208981023704018e-08,7.3431251351006415,2.3973526977548696,97.6026473022451,1.0005965209380166e-06,3.458669380378162e-09,6.780257057533964,2.089882697811696,97.9101173021883,1.1823612383337594,0.0147332693540047,1.2460880743579037,-1.0678263349183794,0.2505239459684322,-4.106170642610423,1.0000670769230782,0.1,9.999329275759337,2.9077727170066696,1.7571556570371611,2.907967761453537,0.2951352296748364,10.155749145537856,10.785472785714289,0.0885704015355452,2022-11-15 18:09:47.387754,2022-11-15 18:10:56.387468,9.813485212857142,11.246116123626368,1.4326309107692268,0.00015682994088202123,2.3876961004039482e-05,16.48953654914334,83.51046345085665
4,0,0.0015751043492688,0.0002117844417953,3320.610217478946,0.8644724032013144,55.068525463000086,44.0670021337986,7.442512332910897e-06,9.385305824777397e-08,4.334735057706713,0.0556924809087193,99.94430751909124,6.062462020902177e-06,3.458669380378162e-09,3.532744955813473,2.089882697811696,97.9101173021883,1.1821423816303185,0.0147216587414942,1.2453356993798348,1.032958936743983,0.2374015462959366,-58.22441479374272,1.179501307692307,0.1,8.478159315961241,1.8306042653821064,2.889590404715819,2.15920012488531,0.192795856876007,8.9792852031893,5.998064874999997,0.0677380669510082,2022-11-15 18:11:25.387345,2022-11-15 18:12:19.387845,5.104223137499995,6.036657817499995,0.9324346800000001,0.0014686819198770618,0.00022445525062849374,22.5956438567154,77.40435614328462
5,1,3.592945757196228e-05,5.25355380867148e-06,190.39506266399664,1.3219566163233785,50.67260435210036,48.00543903157629,3.760533931379657e-07,6.324368630122135e-09,1.6821090884153145,45.06782792695879,54.93217207304125,3.063277334325953e-07,3.458669380378162e-09,1.1295816476763003,2.089882697811696,97.9101173021883,1.182506267799131,0.0147373977973643,1.2462847675959543,0.9146454140375262,0.2373727448269312,3.8086472760384273,0.999957166666666,0.1,10.000428351681071,3.2203227421885177,1.5627350273460174,3.220184805031058,0.3259147984931912,10.122518313356464,11.70675946153845,0.0983071215799028,2022-11-15 18:12:40.387505,2022-11-15 18:13:32.387223,11.246116123626368,16.692084105769222,5.445967982142854,0.0001956706755526667,2.8827889735304384e-05,1.5012242712350967,98.4987757287649
6,1,7.540804978951815e-06,1.752979925521064e-06,884.6004774001525,5.621596507297491,69.36681046511133,25.011593027591186,8.771838330587878e-08,4.4103742167392955e-09,7.115670951102128,92.4752477468685,7.524752253131511,7.149005316059474e-08,3.458669380378162e-09,6.9596432192170905,2.089882697811696,97.9101173021883,1.1817042062922638,0.0147111987465427,1.2449132544318795,0.1285699980408547,0.2156806277222506,20.22561690267652,1.0416481666666684,0.1,9.600170499028048,3.048304949583117,1.6486920106470684,3.175261262174185,0.3092696945416356,9.741430787780542,4.210381399999992,0.0569966476880932,2022-11-15 18:13:43.387557,2022-11-15 18:14:42.387049,1.052595349999998,5.104223137499995,4.051627787499997,3.05525349928395e-05,7.1154149100767486e-06,0.3648661594095775,99.63513384059043
7,1,3.69046487185728e-05,5.34517571921457e-06,418.9982126095001,2.2241623031045834,48.07556440585083,49.70027329104457,-2.434069356662447e-07,5.2664980871346645e-09,-2.311610464484333,64.32116418466508,35.67883581533494,-1.9837127704401998e-07,3.458669380378162e-09,-1.919829871634052,2.089882697811696,97.9101173021883,1.1819919637563838,0.0147200782453397,1.245361621680329,-1.691090674901003,0.2391994770385427,-7.506240175033827,0.9999932857142864,0.1,10.000067143307955,2.14303018606363,2.35358220985496,2.143015797146668,0.2201056537454905,10.275514874601416,6.680130931034476,0.0782048301713731,2022-11-15 18:14:46.387009,2022-11-15 18:15:44.387203,6.377690845517234,7.300823724137927,0.9231328786206925,3.4067894606061564e-05,5.716387754220024e-06,25.490945574150313,74.50905442584968
8,1,6.24965470603047e-05,1.5439736539180055e-05,391.2938878518895,0.2802099871462115,82.51749597140609,17.202294041447704,-1.28565618891752e-06,1.6592298560855388e-08,-1.2908328777756537,6.500665176434061,93.49933482356596,-1.049699001401608e-06,3.458669380378162e-09,-0.3305161623967322,2.089882697811696,97.9101173021883,1.1797702468642346,0.0147196915987982,1.24767438299885,-0.5909455632014334,0.2056593292382669,-14.10276138473188,0.9999523571428556,0.1,10.000476451270943,3.496755711339221,1.4805546310273014,3.496589115906396,0.3533541971317344,10.113546740691806,27.19326019999999,0.0555127763422636,2022-11-15 18:15:58.387312,2022-11-15 18:16:53.390821,24.43533447499999,29.95118592499999,5.5158514499999995,0.00034472166972257485,8.523393069471882e-05,0.16568107679710756,99.83431892320289
9,1,0.0002188733032808,4.2536922377787065e-05,573.8658247147052,0.5590731151693845,63.511037961807055,35.929888923023555,-2.746287618297828e-06,3.4510986574066494e-08,-1.2566803662450383,1.5062036895588011,98.4937963104412,-2.240584906601261e-06,3.458669380378162e-09,-0.1546562734146663,2.089882697811696,97.9101173021883,1.1806494243476864,0.0147239951708898,1.247109701883189,-1.221277426124707,0.2451826849465606,1.3003632256742377,0.9999802666666634,0.1,10.000197337227489,3.2871382685259523,1.6316896597401065,3.287073402330776,0.3327607545284172,10.1411342630977,21.677408749999994,0.072510536920935,2022-11-15 18:17:02.387034,2022-11-15 18:17:59.387562,16.692084105769222,24.43533447499999,7.743250369230768,0.0016947907864438127,0.0003297561747227374,0.2316338116583264,99.76836618834166
