K,G,f_c2h6 (kg/s/m),f_c2h6_err (kg/s/m),f_c2h6_err (%),f_c2h6_err_term1_avg (%),f_c2h6_err_term2_avg (%),f_c2h6_err_term3_avg (%),C_c2h6_avg (kg/m^3),C_c2h6_err_avg (kg/m^3),C_c2h6_err_avg (%),C_c2h6_err_term1_avg (%),C_c2h6_err_term2_avg (%),chi_c2h6_avg (ppb),chi_c2h6_err_avg (ppb),chi_c2h6_err_avg (%),chi_c2h6_err_term1_avg (%),chi_c2h6_err_term2_avg (%),rho_avg (kg/m^3),rho_err_avg (kg/m^3),rho_err_avg (%),xwind_avg (m/s),xwind_avg_err (m/s),xwind_avg_err (%),dt_avg (s),dt_err_avg (s),dt_err_avg (%),vh_avg (s),vh_err_avg (s),ds_avg (s),ds_err_avg (s),ds_err_avg (%),z_avg (m),z_std (m),Start_UTC,End_UTC,z_low (m),z_high (m),delta_z (m),F_tot_k (kg/s),F_tot_k_err (kg/s),F_tot_k_err_term1 (%),F_tot_k_err_term2 (%)
0,0,1.278207253014138e-06,2.636326963357211e-07,628.3981137453109,21.85498580958173,40.918392656041405,37.22662153437683,1.289964472343334e-08,1.3229960753079602e-09,51.7630054813916,96.8321198918336,3.167880108166377,1.0430891634408824e-08,1.0526818640597408e-09,51.68739586342498,22.56034449454573,77.43965550545425,1.191606178066074,0.0148721358256164,1.24807462201685,-1.529513664180825,0.2334503145915116,-6.159622875653967,1.0000277999999994,0.1,9.999722007728192,4.237439166589339,1.1839563444118502,4.237556967398168,0.426693571031737,10.069793809725322,7.272350181818183,0.0882428399699698,2022-11-15 17:33:00.422325,2022-11-15 17:34:15.422342,6.972930898601406,7.369801990909093,0.3968710923076877,5.072835086993299e-07,1.5384810247923532e-07,53.74984552560357,46.25015447439643
1,0,1.6675403295570125e-06,2.9134225128808414e-07,1450.9088026740742,9.228493313129134,50.673265404327694,40.09824128254317,2.732080070311731e-08,1.365619765754392e-09,81.18915674970246,90.51634406263592,9.483655937364071,2.2114478130372772e-08,1.0526818640597408e-09,81.03246589460485,22.56034449454573,77.43965550545425,1.1904220677464863,0.0148497920440096,1.2474389862942876,-0.5479420227829166,0.2291194253782409,-5.451883872884337,0.9999873333333332,0.1,10.000126668271134,2.21075777992582,2.3946171037900297,2.2107297769939405,0.2269643382987043,10.298521471900862,5.425966750000004,0.0702819681101642,2022-11-15 17:34:19.422357,2022-11-15 17:35:20.426065,5.237981606578954,6.049739182692316,0.8117575761133624,1.353638495992478e-06,2.6394560865214626e-07,19.71567450781465,80.28432549218537
2,0,1.4196896888730608e-05,1.99075891373353e-06,379.42478394836905,0.909794941125292,51.56704525431903,47.52315980455568,1.9642755614450858e-07,3.216930861933871e-09,20.804683270119373,7.847440591266079,92.15255940873394,1.588944682417534e-07,1.0526818640597408e-09,20.38623603582974,22.56034449454573,77.43965550545425,1.19086175086974,0.0148637639089894,1.2481518990700475,-1.9546211827735105,0.2428723610843592,-6.016252372984568,1.083281666666667,0.1,9.231209488452524,2.231206181867733,2.2463935799260817,2.417024751370648,0.2296155055934708,9.501241166961822,9.590508538461537,0.0194701547882756,2022-11-15 17:35:25.425733,2022-11-15 17:36:30.422285,9.457646727564107,10.315224153846156,0.8575774262820488,1.217493829502922e-05,1.7294622383651122e-06,2.554485822631553,97.44551417736844
3,0,3.7812392812445274e-06,1.1830726212393828e-06,6704.147458711546,1.0567705347375,94.11262071715625,4.8306087481062825,3.3538406479210646e-08,1.4392393578348063e-09,42.15793153723483,79.8537526715604,20.146247328439586,2.716566361509093e-08,1.0526818640597408e-09,41.98219156924306,22.56034449454573,77.43965550545425,1.1896697931798703,0.0148351179418943,1.2469941790310757,-0.5079952849709907,0.2117831376168064,-11.232729528828262,1.631564342105264,0.1,6.1290871232798905,2.360322927773832,2.1635873359016253,3.851018724809282,0.2499802674638056,6.507340966457221,3.906114846153855,0.0922332710080687,2022-11-15 17:36:40.422110,2022-11-15 17:38:45.422555,0.9765287115384638,4.478055654655879,3.5015269431174154,1.3240111221651643e-05,4.157215366982983e-06,0.7037825520715687,99.29621744792841
4,0,4.7362274207051276e-07,2.705999119562588e-07,6643.13431281558,0.5613431384996302,94.98359969952767,4.455057161972684,3.390941995691972e-08,1.3774492801607455e-09,7.605510410243275,88.7559667006348,11.244033299365196,2.74852587113443e-08,1.0526818640597408e-09,7.410071818806043,22.56034449454573,77.43965550545425,1.1883205584081469,0.0148184378512222,1.247006445939418,0.0715906418803533,0.231421798857745,-218.96918795251975,0.9999820000000004,0.1,10.000180003240054,1.3942838950007184,4.611459591853418,1.3942587978906087,0.1494117422441791,11.410570151080494,7.4672538000000035,0.0498740021590425,2022-11-15 17:39:10.422349,2022-11-15 17:40:30.422164,7.369801990909093,8.39601935833334,1.0262173674242474,4.86039883519855e-07,2.786971725033393e-07,0.7183703681100163,99.28162963188997
5,0,1.4436342339563356e-06,7.271741246739471e-07,289735.0409736805,5.022384542518459,90.7259964490637,4.251619008417868,1.1257190081950096e-08,1.311377745967644e-09,-2889.7144516638014,97.889839197213,2.110160802787012,9.133125512326388e-09,1.0526818640597408e-09,-2889.7811548028976,22.56034449454573,77.43965550545425,1.187355593900057,0.0148088598740352,1.2472130138468656,0.0660031021625967,0.2142870391086014,37.52281888097055,1.3222175444444435,0.1,7.563051966763685,2.2390572375195483,13.263391048331489,2.9605207624636565,0.238815725031186,18.34484629973956,11.039939769230775,0.06494834870949,2022-11-15 17:40:35.422609,2022-11-15 17:42:34.422188,10.315224153846156,11.443833543706301,1.128609389860145,1.6292991519666778e-06,8.260341558798546e-07,1.2884114068067682,98.71158859319324
6,0,1.4261092220943457e-06,3.502957084139316e-07,3245.841844680825,7.111179996584882,72.95184437022989,19.93697563318524,1.823504161622792e-08,1.3264232512102619e-09,-128.7668785929734,95.84576807236203,4.154231927637971,1.4780890850853188e-08,1.0526818640597408e-09,-128.87444105198006,22.56034449454573,77.43965550545425,1.1885003463339712,0.0148356432426081,1.2482654189558966,0.0471043521233698,0.2205699593395018,-12.753443532665088,1.0666813333333345,0.1,9.374871095522428,3.970682825476047,1.6236641783570176,4.235453250522561,0.4015382229252979,9.602617419321094,14.290087062500008,0.0660989908824804,2022-11-15 17:42:39.422087,2022-11-15 17:43:21.422031,13.06890719034092,15.162681593750008,2.093774403409089,2.9859509856867886e-06,7.394729762835156e-07,1.6249897282549413,98.37501027174508
7,0,3.227600187905206e-05,5.0237786399956425e-06,660.8155877832363,0.8471955474004063,60.03545724573871,39.11734720686091,1.3728922758721206e-07,2.511461448233296e-09,11.265621262593168,15.31070139411189,84.68929860588813,1.113314090109412e-07,1.0526818640597408e-09,10.89323163601173,22.56034449454573,77.43965550545425,1.187410554852261,0.0148038857789934,1.2467365982817673,0.5376574937670487,0.2310378007403558,-3.0903586499891698,1.0800038799999994,0.1,9.259225994632544,4.639517970466605,1.3899396917316855,5.010697409433655,0.4678030744241065,9.474398003213974,6.673511615384628,0.087417994457259,2022-11-15 17:43:35.422569,2022-11-15 17:44:09.422120,6.049739182692316,6.972930898601406,0.9231917159090894,2.979693755740707e-05,5.428728946558255e-06,27.01250282480734,72.98749717519266
8,0,5.623523682146586e-06,1.2353378829954683e-06,44545.4073869877,5.466643030249524,64.4198895677586,30.11346740199189,1.6648291800312044e-08,1.3440135858327804e-09,343.93267978106985,92.84219611877766,7.157803881222311,1.3507715420591265e-08,1.0526818640597408e-09,343.8388595724255,22.56034449454573,77.43965550545425,1.1876578519832606,0.0148045399804559,1.2465318702091386,-0.2631556577027235,0.2140118243995519,-8.105055383920629,1.0531941702127652,0.1,9.494925326048673,2.075975315763265,2.59504227753218,2.186405100067476,0.214627497973015,9.870759619679404,5.049996463157903,0.0823760444877558,2022-11-15 17:44:12.421967,2022-11-15 17:45:51.422219,4.478055654655879,5.237981606578954,0.7599259519230745,4.273461587317197e-06,1.0468404783170548e-06,19.58203898942084,80.41796101057918
9,0,2.209245509607004e-05,4.659745252038989e-06,7494.466220156203,0.4773144466239539,73.9509241158635,25.571761437512546,9.058191397131708e-08,2.16171076573206e-09,-71.12630279008124,17.869137296290926,82.13086270370908,7.35575767729313e-08,1.0526818640597408e-09,-71.33686465001352,22.56034449454573,77.43965550545425,1.1864244523969525,0.0147913408103655,1.2467154091397907,0.0447791307849898,0.2129493315531002,15.79103387582854,1.0422027042253523,0.1,9.595062418719008,2.3309742906427533,4.63380974168774,2.4293477091876494,0.2411674154146235,11.863339595938026,9.324784916666676,0.0433838966645279,2022-11-15 17:45:56.426181,2022-11-15 17:47:19.422374,8.39601935833334,9.457646727564107,1.0616273692307665,2.3453954983489677e-05,5.038907477622618e-06,3.6180312001415205,96.38196879985846
