K,G,f_ch4 (kg/s/m),f_ch4_err (kg/s/m),f_ch4_err (%),f_ch4_err_term1_avg (%),f_ch4_err_term2_avg (%),f_ch4_err_term3_avg (%),C_ch4_avg (kg/m^3),C_ch4_err_avg (kg/m^3),C_ch4_err_avg (%),C_ch4_err_term1_avg (%),C_ch4_err_term2_avg (%),chi_ch4_avg (ppb),chi_ch4_err_avg (ppb),chi_ch4_err_avg (%),chi_ch4_err_term1_avg (%),chi_ch4_err_term2_avg (%),rho_avg (kg/m^3),rho_err_avg (kg/m^3),rho_err_avg (%),xwind_avg (m/s),xwind_avg_err (m/s),xwind_avg_err (%),dt_avg (s),dt_err_avg (s),dt_err_avg (%),vh_avg (s),vh_err_avg (s),ds_avg (s),ds_err_avg (s),ds_err_avg (%),z_avg (m),z_std (m),Start_UTC,End_UTC,z_low (m),z_high (m),delta_z (m),F_tot_k (kg/s),F_tot_k_err (kg/s),F_tot_k_err_term1 (%),F_tot_k_err_term2 (%)
0,0,1.901730654163064e-06,2.061257414577669e-06,1240.0620244810125,99.24580234498724,0.6847719133746154,0.0694257416381086,4.988073513070046e-09,5.274669482734991e-09,123.62035288824772,99.98495142063716,0.0150485793628201,7.68703664219416e-09,8.128570194493846e-09,123.61304322822691,1.5134625504102623,98.48653744958972,1.1716909768507062,0.0145682173380724,1.2433486878091586,0.1639622221717168,0.2590313832291909,2.1352623417765138,4.999981666666667,0.1,2.000007333360222,2.5542289981037487,2.036349822083886,12.771098162987112,0.3591114197560621,2.8683897338881152,3.5929411999999785,0.1004178768614482,2022-11-15 19:53:00.201804,2022-11-15 19:53:47.201387,3.28300678181816,4.3806863499999755,1.0976795681818157,2.0874908832598337e-06,2.2706448679657223e-06,0.7073293076085998,99.29267069239141
1,0,7.355511217914695e-06,1.316350670525241e-06,1858.422613999604,13.040100008463478,65.92397899623758,21.03592099529893,4.944355086856924e-08,5.363693699850049e-09,84.43353382491573,96.15404214488686,3.845957855113172,7.629044758099812e-08,8.128570194493846e-09,84.36341113390313,1.5134625504102623,98.48653744958972,1.1693124826847785,0.0145341028007818,1.2429606461232103,1.12492663090687,0.239640126916561,3.960780234443463,1.7000334500000007,0.1,5.882237199509219,1.5871981476327988,3.299526723738944,2.698289942753797,0.1807551862469632,6.774049180968924,5.6866324285714045,0.090468351924631,2022-11-15 19:53:51.201339,2022-11-15 19:54:33.202144,5.427531964285688,5.861830371428548,0.43429840714285994,3.1944868056617898e-06,8.772912894583847e-07,57.534911217290244,42.465088782709756
2,0,3.053736009133477e-05,3.76251593622862e-06,352.1172969595869,1.7439583878699392,30.07874191084536,68.1772997012847,3.740185421626479e-07,7.824357843369994e-09,2.15872501076383,38.63810164795769,61.36189835204231,5.776343717043097e-07,8.128570194493846e-09,1.7898606717985988,1.5134625504102623,98.48653744958972,1.1704414504389664,0.014557267452358,1.2437392231410802,-4.7407251319144885,0.3100867084528875,-6.551166237344797,1.090899181818181,0.1,9.166749931311882,1.2939693256836675,4.196921946863424,1.4115900786861364,0.1411873362098266,10.13433174518094,8.777417499999975,0.0531919372626094,2022-11-15 19:54:37.201167,2022-11-15 19:55:28.201106,8.744046249999975,8.966212815217366,0.22216656521739075,6.784380402298472e-06,1.8268066043274962e-06,79.06230102679321,20.93769897320679
3,0,8.564806033094103e-05,1.0856535397776622e-05,325.46838774846515,1.168289217215078,35.98159276244111,62.85011802034384,6.09075785535242e-07,1.0233777379222306e-08,5.381294788983876,18.51525134972947,81.48474865027053,9.390517569395344e-07,8.128570194493846e-09,4.906649778684285,1.5134625504102623,98.48653744958972,1.170502966549199,0.0145478823655744,1.242873766323,-1.9734409022737445,0.2625631510377744,-4.046122162767636,1.0476146666666668,0.1,9.545494462976844,1.6340192082538296,3.077896160422468,1.7118224881817663,0.1716349931548105,10.031849643986885,2.973072363636341,0.1525006797667572,2022-11-15 19:56:23.201965,2022-11-15 19:57:11.201603,0.7432680909090852,3.28300678181816,2.5397386909090747,0.0002175236926238056,3.0509950848250057e-05,18.327178384974463,81.67282161502554
4,0,4.155168940523098e-05,5.50983566303137e-06,383.2339251598677,1.3202127053551638,54.0551092700204,44.62467802462442,5.615771083135663e-07,9.852097664692322e-09,12.569479085753704,21.95858429060318,78.04141570939677,8.659031120864654e-07,8.128570194493846e-09,12.118957320975934,1.5134625504102623,98.48653744958972,1.1710960231497465,0.0145615426778605,1.2434111769456613,0.6578155193729368,0.2538691080420911,4.068197135852134,1.353147294117645,0.1,7.390178470201768,1.2854294932202788,4.116558798522976,1.7393754405300357,0.1460070399246192,8.491778934870279,5.168431499999972,0.0615256709117323,2022-11-15 19:57:15.201713,2022-11-15 19:57:47.201358,4.3806863499999755,5.427531964285688,1.0468456142857123,4.3498203820028146e-05,6.309111319144041e-06,16.419264835053564,83.58073516494643
5,0,1.568301579632923e-05,2.1794248426780714e-06,392.9622644618585,3.0584176382692605,68.64506438953563,28.296517972195133,1.5324208721712092e-07,5.934947848977251e-09,11.269166458688666,74.7491472637096,25.2508527362904,2.3617489100842934e-07,8.128570194493846e-09,11.079962491220629,1.5134625504102623,98.48653744958972,1.171261943540786,0.0145670914185473,1.24370859586056,0.6323643200316191,0.2305059149863212,2.3730910175946778,1.7000032000000005,0.1,5.882341868532952,1.2295567293460137,4.122646486369348,2.0902503744697576,0.1496949928821345,7.1944731090906044,7.240285190476162,0.08052953857088,2022-11-15 19:57:51.201900,2022-11-15 19:58:29.201532,6.638656752380927,7.554418428571405,0.9157616761904785,1.4361904833368208e-05,2.361860497400921e-06,28.59309030562676,71.40690969437323
6,0,3.13806550534769e-05,4.952300459822217e-06,488.9147732746275,0.8074667724691058,54.235111521096144,44.95742170643473,6.180527516499132e-07,1.0491896067263036e-08,10.172502577570224,17.164127644044694,82.8358723559553,9.536489291848964e-07,8.128570194493846e-09,9.715252467102609,1.5134625504102623,98.48653744958972,1.170252105586702,0.0145555044869813,1.2437916593627407,0.791753315918918,0.2240541078592891,3.891997977931038,1.0954430952380974,0.1,9.128726123219092,1.1200706189156933,4.526535109013924,1.2269736256702584,0.1248170810886287,10.200478403152848,9.976989727272702,0.1031400491402478,2022-11-15 19:58:34.206328,2022-11-15 19:59:25.201745,9.891031863636337,10.989107158508135,1.0980752948717978,3.445832205111682e-05,6.328303508142305e-06,26.15797245349671,73.84202754650329
7,1,1.112395270092438e-06,2.613542817881047e-07,157.82884498758824,72.18450755863414,19.258885377458704,8.556607063907153,2.70623493844809e-08,5.2803370701467e-09,23.083952754995305,99.53180721874422,0.4681927812557808,4.1761213969361185e-08,8.128570194493846e-09,23.044279872600967,1.5134625504102623,98.48653744958972,1.1702902613529549,0.0145551286839205,1.2437194758528185,1.6078485078044238,0.2467335117342073,6.738503273241437,1.7998919999999998,0.1,5.55588890889009,1.563131214024953,3.3024830182809466,2.8134673670738004,0.1808605873645316,6.4873995626934295,9.805073999999973,0.1329103342834203,2022-11-15 19:59:40.202131,2022-11-15 20:00:22.201405,9.480041065217364,9.891031863636337,0.41099079841897357,4.571842202127808e-07,1.8274869939010373e-07,65.45264148666467,34.547358513335325
8,1,7.838425670796909e-05,9.411257434940427e-06,9693.060725384124,2.1303730702064634,36.19932206454361,61.67030486524995,2.2140050208001206e-07,6.738505321597067e-09,-144.44892760814002,46.33396082015408,53.66603917984592,3.415057139212504e-07,8.128570194493846e-09,-144.6601569243686,1.5134625504102623,98.48653744958972,1.169658312274139,0.0145422195656116,1.2432866476762927,0.4237376536554093,0.2927961152860077,0.332634113252886,1.3396464150943397,0.1,7.464656261029734,1.0664722507365272,5.216991223426563,1.4286957274967806,0.1265370716323928,9.29460639290761,7.951344240740719,0.0876007427703909,2022-11-15 20:00:27.200750,2022-11-15 20:01:38.202010,7.909947953703684,8.331009620370347,0.4210616666666631,3.300460576988504e-05,7.92793998599542e-06,75.01576771327271,24.98423228672731
9,1,7.658551876072155e-05,9.464796305582164e-06,1520.582701002174,1.5813706898453053,41.258579806556114,57.16004950359858,4.576243831206381e-07,9.211097867978709e-09,14.998382556082516,21.979165475415478,78.02083452458454,7.066896718836659e-07,8.128570194493846e-09,14.670023011922448,1.5134625504102623,98.48653744958972,1.169420469161121,0.0145343761856653,1.2428679903628,0.089737974125112,0.2582633829324252,0.3519436416322642,1.8824709117647056,0.1,5.312167076529001,0.9399073636587172,7.637798753905552,1.7693482718409863,0.1360147788130669,9.735689855171008,6.03702831428569,0.1547776678255951,2022-11-15 20:01:40.201806,2022-11-15 20:02:44.205817,5.861830371428548,6.638656752380927,0.7768263809523788,5.949365137225183e-05,1.3948841322196557e-05,72.21603601356506,27.783963986434927
