K,G,f_ch4 (kg/s/m),f_ch4_err (kg/s/m),f_ch4_err (%),f_ch4_err_term1_avg (%),f_ch4_err_term2_avg (%),f_ch4_err_term3_avg (%),C_ch4_avg (kg/m^3),C_ch4_err_avg (kg/m^3),C_ch4_err_avg (%),C_ch4_err_term1_avg (%),C_ch4_err_term2_avg (%),chi_ch4_avg (ppb),chi_ch4_err_avg (ppb),chi_ch4_err_avg (%),chi_ch4_err_term1_avg (%),chi_ch4_err_term2_avg (%),rho_avg (kg/m^3),rho_err_avg (kg/m^3),rho_err_avg (%),xwind_avg (m/s),xwind_avg_err (m/s),xwind_avg_err (%),dt_avg (s),dt_err_avg (s),dt_err_avg (%),vh_avg (s),vh_err_avg (s),ds_avg (s),ds_err_avg (s),ds_err_avg (%),z_avg (m),z_std (m),Start_UTC,End_UTC,z_low (m),z_high (m),delta_z (m),F_tot_k (kg/s),F_tot_k_err (kg/s),F_tot_k_err_term1 (%),F_tot_k_err_term2 (%)
0,0,7.077045355868619e-05,1.0056307403289035e-05,2276.74760894574,18.44097386718733,39.51599009824864,42.043036034564025,5.438655024154799e-08,4.7016347217444995e-09,-24.16225365111189,95.85072654508204,4.1492734549179495,9.548257107943987e-08,8.07968793112222e-09,-24.266704370376367,1.53183090084156,98.46816909915842,1.0290979494411368,0.0138292997057676,1.3438270066667597,-3.197459422804496,0.3089069517184529,-5.21135262653365,1.260001133333329,0.1,7.936500797856453,8.157008586056568,0.6292235775358666,10.277840063040973,0.8181938126811726,7.962347467186674,21.766901935483887,0.1379897867520343,2022-08-31 16:18:02.759182,2022-08-31 16:18:49.559807,5.441725483870972,23.68862142228741,18.24689593841644,0.0012913411015998803,0.0001837560714965774,0.2824323566148121,99.71756764338518
1,0,3.9046055868841256e-05,4.6171404615299965e-06,342.1812249019561,68.48516427898157,21.13733338748762,10.3775023335308,5.13881215403794e-08,4.678292298247157e-09,29.73987399814772,96.63148426613668,3.368515733863339,9.03503136463946e-08,8.07968793112222e-09,29.6403360236202,1.53183090084156,98.46816909915842,1.0279263392693831,0.0138166587960375,1.3441285641071716,-5.258168433199642,0.228986100195885,-4.36328465077097,3.600047899999981,0.1,2.7777408183930143,3.900864103945977,1.425176633426362,14.043297625596022,0.4323928745307935,3.1618774508055094,25.61034090909094,0.0805521566162843,2022-08-31 16:18:56.759200,2022-08-31 16:20:05.759585,23.68862142228741,28.263121621212136,4.574500198924724,0.00017861619033924023,2.1354012405129356e-05,2.1694503025565,97.83054969744349
2,0,1.7896748081308077e-05,5.396369795329493e-06,5657.269572263703,63.40378111773804,27.81396885287001,8.782250029391944,3.677319157862547e-09,4.606412618844643e-09,-165.1562271848412,99.7021650032977,0.2978349967023221,6.471256254111557e-09,8.07968793112222e-09,-165.16340596527,1.53183090084156,98.46816909915842,1.0279862750366446,0.0138258950502478,1.3449491592135785,-2.3459182185664096,0.3300778896597739,-20.74327981958624,1.6896871724137907,0.1,5.918255262430956,8.595794040198886,0.6328238793790106,14.524202926434963,0.8640787036431922,5.955621709127584,30.91590233333333,0.1069085351030978,2022-08-31 16:20:14.559956,2022-08-31 16:21:07.759970,28.263121621212136,33.42201778431373,5.158896163101595,9.232746500865606e-05,2.7904982274625485e-05,0.4701208420072622,99.52987915799275
3,0,5.357797901615796e-05,7.699152669355021e-06,1522.072705865837,22.795143917671968,23.37364559474949,53.83121048757854,6.441737028084078e-08,4.691557168469022e-09,-20.772822750102456,95.59922313508598,4.400776864914044,1.1347662223777957e-07,8.07968793112222e-09,-20.897879593365705,1.53183090084156,98.46816909915842,1.0253416734985374,0.0137899215737554,1.3449095997804112,-3.846485750111936,0.2485565716683309,-6.6391937973737525,1.030278242424243,0.1,9.70611587067006,6.121065020391477,0.8224650218823001,6.306400110973443,0.6142850923848681,9.741107748513429,35.928133235294126,0.1657901490673179,2022-08-31 16:21:18.759947,2022-08-31 16:22:17.759262,33.42201778431373,36.500557526737964,3.0785397424242333,0.0001649419377200139,2.5311937386956728e-05,12.31513918705368,87.68486081294633
4,0,2.7930606631558377e-06,2.6003514825195595e-06,4997.072091576503,94.2162364737092,5.469944615247144,0.3138189110436415,4.900413429342154e-09,4.591060699782325e-09,142.18107591887485,99.95755717726644,0.0424428227335396,8.623443077607305e-09,8.07968793112222e-09,142.17141393314034,1.53183090084156,98.46816909915842,1.025866846483685,0.0138045237583665,1.3456443900079726,-1.6927433229506796,0.3149027100066133,-38.41037729356803,2.679970400000002,0.1,3.731384495888459,7.296527784241579,0.7265727243331563,19.55447848454503,0.7425413863051524,3.8072152633339287,40.538476875,0.145980862475122,2022-08-31 16:22:22.759314,2022-08-31 16:23:21.759506,38.80572934659091,41.446957799202124,2.641228452611216,7.37711129339635e-06,6.880214441782892e-06,0.3511952538574353,99.64880474614255
5,0,1.0227981417741112e-05,7.655424958545933e-06,10042.300401580203,97.8020719936022,1.0123227099221734,1.18560529647562,1.919882022022427e-09,4.5865545236213156e-09,43.6002851875536,99.95324840953477,0.0467515904652544,3.382048314273586e-09,8.07968793112222e-09,43.59649329320124,1.53183090084156,98.46816909915842,1.024837476223538,0.013796463944096,1.346209202814062,-3.5166250825722987,0.2588702560954155,-3.2928102364145926,1.4354870806451625,0.1,6.966276558550162,4.414002908768421,22.094450955023703,6.336244149467233,0.4580631770756282,27.05191587232777,45.75286666666667,0.1706748200433207,2022-08-31 16:23:30.759141,2022-08-31 16:24:59.759340,44.054152695035455,46.91327674242426,2.8591240473888035,2.9243067627709443e-05,2.1957311622479872e-05,0.6320630999964082,99.36793690000357
6,0,2.624260146955002e-06,7.061427737826297e-07,413.8617376438619,69.76862904669201,17.800173463634422,12.431197489673544,2.1637284285925773e-08,4.594652046473959e-09,41.39169590034501,99.53082591884524,0.4691740811547538,3.8141705406377636e-08,8.07968793112222e-09,41.3489455025917,1.53183090084156,98.46816909915842,1.0244761068668573,0.0137976296056761,1.3467985222991108,-2.472852825934251,0.2874510982370799,-12.726293367242924,1.1249302499999203,0.1,8.889440034171637,5.166247151102341,1.0909799578269854,5.811667699250933,0.5200577320428272,8.96488422324243,51.31989111111112,0.1062909424848614,2022-08-31 16:25:16.759160,2022-08-31 16:26:07.759352,49.69678896464648,52.94299325757576,3.246204292929278,8.518884554808546e-06,2.309192360850185e-06,1.4591033747772792,98.54089662522271
7,0,1.3354459213431557e-06,3.1634995916477047e-06,10233.033780379736,99.69868221126546,0.2582810814261152,0.0430367073084233,9.511339717922226e-10,4.586185425227152e-09,-73.70181733791263,99.99516889776268,0.00483110223736,1.6755444857915132e-09,8.07968793112222e-09,-73.70369719212799,1.53183090084156,98.46816909915842,1.0249701159333815,0.0138009296307606,1.3464713584397967,-2.4600074381107166,0.2597340706941879,-12.109655255566215,2.571427380952368,0.1,3.888890689301265,5.014064740175916,1.007137884881898,12.89330336275617,0.5177771478543731,4.018391808129624,48.07368681818184,0.2300133538492236,2022-08-31 16:26:37.759259,2022-08-31 16:27:32.759203,46.91327674242426,49.69678896464648,2.783512222222221,3.7172300441754886e-06,8.810995718856968e-06,0.1215370617232873,99.8784629382767
8,0,4.537095556206755e-06,4.982527802096896e-06,24473.091169946496,98.05607608798324,1.2580374384364383,0.6858864735803326,4.6421363762938337e-10,4.583845285437405e-09,-243.7136730645101,99.97910737206864,0.0208926279313834,8.19689476320813e-10,8.07968793112222e-09,-243.714590258495,1.53183090084156,98.46816909915842,1.0243648023258751,0.0137807913897186,1.3453008619301208,-2.443591204455132,0.2988839371209472,-12.101232765618786,1.265203478260881,0.1,7.903866984104221,6.815649731886967,1.2096714720011186,8.623183747391233,0.6857887582793409,8.211744442417405,42.35543872340425,0.1472242949657196,2022-08-31 16:27:39.759520,2022-08-31 16:28:38.759346,41.446957799202124,44.054152695035455,2.607194895833331,1.182909237605034e-05,1.3007583326975044e-05,0.26370695575276754,99.73629304424723
9,0,4.733651940784686e-06,2.8305984947161057e-06,3985.5911660456086,90.01257965801923,6.626780225079317,3.3606401169014166,6.803929483627354e-09,4.588870260340819e-09,66.45380696970629,99.81527120194076,0.1847287980592181,1.2000585460790504e-08,8.07968793112222e-09,66.44040664033042,1.53183090084156,98.46816909915842,1.0246481154026863,0.0137783381066856,1.3446894277974613,-3.188695887176957,0.2547323322731578,-9.117976655580025,1.0952255238095123,0.1,9.130539585324032,7.509349013334387,0.6667556320666671,8.2244307065976,0.7529316969460791,9.15488530598202,37.07298181818181,0.2436301804083035,2022-08-31 16:28:59.759426,2022-08-31 16:29:22.759162,36.500557526737964,38.80572934659091,2.3051718198529443,1.0911881058889057e-05,6.626148353610831e-06,3.029231795912053,96.97076820408796
