Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H2O,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC
2022-10-28 08:10:22.732922-07:00,0.0,4.03,2.18,-3.38,-0.22,8.15,869.62,43.53,24.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:22.732922+00:00
2022-10-28 08:10:22.925016-07:00,0.192094,4.61,2.72,-3.72,-0.18,8.04,869.6,43.88,24.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:22.925016+00:00
2022-10-28 08:10:23.124630-07:00,0.391708,4.54,2.11,-4.0,-0.37,7.8,869.59,44.53,21.0,-1.0,,,,,,,,,,1.9574,2.28004,6167.06,15.3318,11856.0,-0.924968,-1.0,13.0,-1186.0,98.0,,0.0,,2022-10-28 15:10:23.124630+00:00
2022-10-28 08:10:23.325097-07:00,0.592175,3.8,1.47,-3.5,-0.28,8.03,869.63,43.89,26.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:23.325097+00:00
2022-10-28 08:10:23.524714-07:00,0.791792,4.01,1.59,-3.67,-0.25,8.11,869.62,43.71,24.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:23.524714+00:00
2022-10-28 08:10:23.724555-07:00,0.991633,3.84,0.81,-3.74,-0.3,8.03,869.64,43.85,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:23.724555+00:00
2022-10-28 08:10:23.924595-07:00,1.191673,3.65,0.4,-3.62,-0.32,7.93,869.65,44.32,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:23.924595+00:00
2022-10-28 08:10:24.124689-07:00,1.391767,3.31,0.75,-3.23,-0.15,8.04,869.65,43.87,22.0,-1.0,,,,,,,,,,1.96079,1.51578,6172.37,15.3379,11781.0,-0.917562,-1.0,11.0,-1201.0,98.0,,0.0,,2022-10-28 15:10:24.124689+00:00
2022-10-28 08:10:24.324513-07:00,1.591591,4.02,1.1,-3.85,-0.33,7.91,869.65,44.33,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:24.324513+00:00
2022-10-28 08:10:24.524865-07:00,1.791943,3.72,1.36,-3.45,-0.23,7.75,869.64,44.74,27.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:24.524865+00:00
2022-10-28 08:10:24.724190-07:00,1.991268,3.61,1.39,-3.33,-0.24,7.68,869.63,45.03,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:24.724190+00:00
2022-10-28 08:10:24.924319-07:00,2.191397,3.65,1.56,-3.29,-0.26,7.75,869.63,44.74,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 15:10:24.924319+00:00
