K,G,f_c2h6 (kg/s/m),f_c2h6_err (kg/s/m),f_c2h6_err (%),f_c2h6_err_term1_avg (%),f_c2h6_err_term2_avg (%),f_c2h6_err_term3_avg (%),C_c2h6_avg (kg/m^3),C_c2h6_err_avg (kg/m^3),C_c2h6_err_avg (%),C_c2h6_err_term1_avg (%),C_c2h6_err_term2_avg (%),chi_c2h6_avg (ppb),chi_c2h6_err_avg (ppb),chi_c2h6_err_avg (%),chi_c2h6_err_term1_avg (%),chi_c2h6_err_term2_avg (%),rho_avg (kg/m^3),rho_err_avg (kg/m^3),rho_err_avg (%),xwind_avg (m/s),xwind_avg_err (m/s),xwind_avg_err (%),dt_avg (s),dt_err_avg (s),dt_err_avg (%),vh_avg (s),vh_err_avg (s),ds_avg (s),ds_err_avg (s),ds_err_avg (%),z_avg (m),z_std (m),Start_UTC,End_UTC,z_low (m),z_high (m),delta_z (m),F_tot_k (kg/s),F_tot_k_err (kg/s),F_tot_k_err_term1 (%),F_tot_k_err_term2 (%)
0,0,4.522489964670728e-06,5.431007201111242e-07,385.9539084017425,46.33065927660564,21.47927973598514,32.190060987409225,1.681740693787749e-08,1.2994245926861464e-09,21.73923150309125,94.67465007794968,5.3253499220503135,1.5199124472340024e-08,1.14302882906364e-09,21.62630420933005,19.134875478350573,80.86512452164943,1.0662146319062722,0.0141031318691307,1.3227284141161195,0.5056370805055106,0.2352626060217764,-1.1037460209584466,2.133662466666665,0.1,4.686776918198592,1.4769175376105648,3.459193744877075,3.1512435163614154,0.1826333341511209,5.839283982759449,7.035870000000045,0.1287813654512851,2023-04-19 14:16:30.064014,2023-04-19 14:17:19.063990,6.483793529411798,7.283203529411811,0.7994100000000124,3.615323702657483e-06,7.264291258865006e-07,64.2798385549949,35.720161445005125
1,0,7.700315233662231e-07,1.573882638299615e-07,517.134525107558,56.26156331716732,5.5991234484602055,38.13931323437247,7.508431925780338e-09,1.2716877672836846e-09,36.58673791500203,99.07346971462776,0.9265302853723032,6.777297636078597e-09,1.14302882906364e-09,36.5350936642046,19.134875478350573,80.86512452164943,1.0667104320057268,0.014108083204623,1.322578173515549,1.7655724979633536,0.2254423319440871,1.922215307585556,0.9999416666666672,0.1,10.000583367363092,1.4227771402644178,3.640046543369797,1.4226941449312365,0.1510597654016839,10.665860552648828,5.194736153846197,0.0927104088868988,2023-04-19 14:17:23.064036,2023-04-19 14:18:33.064730,5.043052319347359,5.563226606334874,0.5201742869875154,4.005505986249354e-07,1.0862370834154548e-07,43.19413205013883,56.80586794986119
2,0,4.164568923067266e-06,5.675150695381072e-07,1061.834372785686,16.79280797649681,16.188963863531004,67.01822815997215,1.893945303299986e-08,1.307151959207404e-09,16.91086045006546,93.49107987924,6.508920120760007,1.7111470167741443e-08,1.14302882906364e-09,16.784418003177876,19.134875478350573,80.86512452164943,1.0660338151130495,0.0140920004007972,1.3219087628946655,4.725515765326486,0.2373339789680092,4.376605089970156,1.1071646428571449,0.1,9.032080336483686,1.300122690228356,3.9071694638064582,1.439449873997148,0.1414461113116452,9.853460147999035,2.491456551724194,0.1778104021486091,2023-04-19 14:18:39.064222,2023-04-19 14:19:34.064413,1.937811238825081,2.6921085390200155,0.7542973001949345,3.1413230951453647e-06,8.553326667858925e-07,74.952188577384,25.047811422615975
3,1,7.820286576307645e-07,3.303417905667102e-07,4093.2995807724697,91.5756566419618,1.7793535686894872,6.644989789348749,3.068862693163141e-09,1.265990747875042e-09,239.80906024617727,99.81998154313648,0.180018456863491,2.7738221562983067e-09,1.14302882906364e-09,239.7878560622358,19.134875478350573,80.86512452164943,1.0659036530754955,0.0140983344788253,1.322664855138857,-3.437901442811297,0.2501490638944436,-2.124874834569609,1.3125118749999984,0.1,7.6189786854309505,1.8937669399330608,2.7538575924985453,2.4855915971445515,0.2008148588912937,8.123893650782588,7.530537058823577,0.1687087981863222,2023-04-19 14:20:05.063847,2023-04-19 14:21:00.063754,7.283203529411811,7.777870588235343,0.49466705882353246,3.8684381598592556e-07,2.1002247937885615e-07,39.462921850513084,60.53707814948691
4,1,4.499211858209396e-06,7.347697326437691e-07,4490.2916720083695,41.51785118814627,7.494543822108748,50.98760498974497,1.1877690698736162e-08,1.2783668052710474e-09,16.720261631787764,97.85974555610474,2.1402544438952606,1.0737181802142784e-08,1.14302882906364e-09,16.638842311634995,19.134875478350573,80.86512452164943,1.0657531734575068,0.0140921393580914,1.322270123690497,-1.2962988496078462,0.2473860088519456,-1.289984683732243,1.0312560000000026,0.1,9.696913278565145,1.7502952946062411,2.8940134716475985,1.8050025243344583,0.1825533367567224,10.12487640480254,4.89136848484852,0.1464936665529506,2023-04-19 14:21:06.064591,2023-04-19 14:21:57.063312,4.587783131313161,5.043052319347359,0.45526918803419747,2.048352529480825e-06,7.39136712411447e-07,79.51719237382117,20.482807626178825
5,1,4.2313500003267935e-06,6.043882106573351e-07,831.3884064185551,74.23991588178664,10.203561545664414,15.556522572548966,8.904928964149623e-09,1.2735952923567961e-09,2.51506043721784,98.61222106314122,1.387778936858763,8.047034026707591e-09,1.14302882906364e-09,2.4539410726951023,19.134875478350573,80.86512452164943,1.0658332961102006,0.0140893059980547,1.3219046806060355,0.9924047901830386,0.2297077932519101,3.745728966190295,2.888875833333335,0.1,3.461554105100281,1.3913698312722629,6.725133879119174,4.01949468079152,0.2038878836866641,8.083585435224034,2.8927605263158367,0.1233865482505929,2023-04-19 14:22:01.064304,2023-04-19 14:23:02.064789,2.6921085390200155,3.068359878542551,0.37625133952253575,1.5920511056116382e-06,5.694658243813483e-07,84.05396375956302,15.946036240436968
6,1,5.36923923831327e-06,7.192695141504016e-07,950.8723139552384,20.42663118053719,11.39487657979944,68.17849223966337,2.0233042699111352e-08,1.29884755948735e-09,20.522848246192197,94.59193301476586,5.408066985234129,1.8303207811614243e-08,1.14302882906364e-09,20.38571580449272,19.134875478350573,80.86512452164943,1.0647692301571914,0.0140687165900832,1.3212918898877448,-0.1914090263931397,0.2234345964342541,-0.8565594181775597,1.0285921428571425,0.1,9.722026431412148,1.3967021104540642,3.662241174213871,1.4366368167250394,0.1490168237001811,10.401690327719356,1.230852777777822,0.4533988944786692,2023-04-19 14:23:05.063970,2023-04-19 14:24:06.064374,0.30771319444445555,1.307509351851895,0.9997961574074394,5.368144758666854e-06,2.5384002517890056e-06,91.9742425813589,8.025757418641112
7,1,6.720953642059228e-06,8.33833028105145e-07,6183.550171201226,6.982614670955868,12.061179518093107,80.95620581095102,2.95218297719434e-08,1.3688831389255396e-09,-175.997184150793,84.32245824216217,15.67754175783782,2.668796172261778e-08,1.14302882906364e-09,-176.18414064786543,19.134875478350573,80.86512452164943,1.0648925834546523,0.0140738855290068,1.3216244349603887,-3.935239420244937,0.231736534054708,-2.2405171278928964,1.0399836000000005,0.1,9.615536244994628,1.3315832287343818,3.871606675378799,1.3848247199188064,0.1431992303331445,10.386281511104633,3.2439592307692657,0.1188470491825898,2023-04-19 14:24:10.064446,2023-04-19 14:25:19.064551,3.068359878542551,3.7640785042735336,0.6957186257309824,4.675892631455087e-06,9.871968522067977e-07,65.46830279518171,34.53169720481825
8,2,4.743269791200711e-06,6.343668665094825e-07,491.569755435654,20.091144176872856,11.189259891684593,68.71959593144254,1.7630494446946776e-08,1.2981440712760084e-09,22.54191721227088,94.87276691587952,5.127233084120488,1.5928390049497506e-08,1.14302882906364e-09,22.423048082744668,19.134875478350573,80.86512452164943,1.0661296448530233,0.0140975600195661,1.3223118166771364,-2.841066965601643,0.2938060170097243,-1.9857645424197647,1.0588417058823538,0.1,9.444282317597985,1.7792816654670007,3.2329120970514538,1.8839776339082748,0.1864962128424179,10.103553626096538,4.284197777777801,0.1821809377013095,2023-04-19 14:25:35.063940,2023-04-19 14:26:25.064309,3.7640785042735336,4.587783131313161,0.8237046270396275,3.907053274309314e-06,1.0098341408862792e-06,73.22534429016883,26.77465570983115
9,2,4.1512608975546764e-06,5.772232916210673e-07,1795.5726658532285,23.647991483122095,13.873549649874787,62.47845886700311,1.5876195522512234e-08,1.2971760840933826e-09,85.63051075599617,94.70214686998484,5.29785313001516,1.4370923174746884e-08,1.14302882906364e-09,85.52404792651637,19.134875478350573,80.86512452164943,1.0645177808528996,0.0140720426960404,1.3219161205211027,-3.3481905721239578,0.2306503177261365,-1.7510079672251708,1.1249844999999965,0.1,8.889011359712095,2.350513641986225,2.2230890720403944,2.644291414273044,0.2419639609697546,9.174694519031576,5.931717058823551,0.161992843297432,2023-04-19 14:26:29.064751,2023-04-19 14:27:13.064509,5.563226606334874,6.483793529411798,0.9205669230769242,3.821513471351459e-06,8.570758090397614e-07,61.562073512628906,38.43792648737108
