K,G,f_ch4 (kg/s/m),f_ch4_err (kg/s/m),f_ch4_err (%),f_ch4_err_term1_avg (%),f_ch4_err_term2_avg (%),f_ch4_err_term3_avg (%),C_ch4_avg (kg/m^3),C_ch4_err_avg (kg/m^3),C_ch4_err_avg (%),C_ch4_err_term1_avg (%),C_ch4_err_term2_avg (%),chi_ch4_avg (ppb),chi_ch4_err_avg (ppb),chi_ch4_err_avg (%),chi_ch4_err_term1_avg (%),chi_ch4_err_term2_avg (%),rho_avg (kg/m^3),rho_err_avg (kg/m^3),rho_err_avg (%),xwind_avg (m/s),xwind_avg_err (m/s),xwind_avg_err (%),dt_avg (s),dt_err_avg (s),dt_err_avg (%),vh_avg (s),vh_err_avg (s),ds_avg (s),ds_err_avg (s),ds_err_avg (%),z_avg (m),z_std (m),Start_UTC,End_UTC,z_low (m),z_high (m),delta_z (m),F_tot_k (kg/s),F_tot_k_err (kg/s),F_tot_k_err_term1 (%),F_tot_k_err_term2 (%)
0,0,1.5047216995318998e-05,2.2138174722272536e-06,2671.1286827069807,56.29021518493512,17.921061118716246,25.788723696348622,5.6020011392813615e-08,5.767117854339477e-09,25.87676342647489,96.2813817408443,3.7186182591556873,9.492240041086417e-08,9.587892893580177e-09,25.792262659390325,1.0878115163021025,98.9121884836979,1.0662146319062722,0.0141031318691307,1.3227284141161195,0.5056370805055106,0.2352626060217764,-1.1037460209584466,2.133662466666665,0.1,4.686776918198592,1.4769175376105648,3.459193744877075,3.1512435163614154,0.1826333341511209,5.839283982759449,7.035870000000045,0.1287813654512851,2023-04-19 14:16:30.064014,2023-04-19 14:17:19.063990,6.483793529411798,7.283203529411811,0.7994100000000124,1.2028895738228147e-05,2.624324801961931e-06,54.523440081925365,45.476559918074614
1,0,2.738399342001545e-06,6.626540054887591e-07,4256.120483359495,64.10423339471602,4.550662374652752,31.34510423063124,2.5611352500450124e-08,5.682636888447377e-09,-243.69257787657324,99.33403813216616,0.6659618678338112,4.3332524084919284e-08,9.587892893580177e-09,-243.73196869729395,1.0878115163021025,98.9121884836979,1.0667104320057268,0.014108083204623,1.322578173515549,1.7655724979633536,0.2254423319440871,1.922215307585556,0.9999416666666672,0.1,10.000583367363092,1.4227771402644178,3.640046543369797,1.4226941449312365,0.1510597654016839,10.665860552648828,5.194736153846197,0.0927104088868988,2023-04-19 14:17:23.064036,2023-04-19 14:18:33.064730,5.043052319347359,5.563226606334874,0.5201742869875154,1.424444925212735e-06,4.2809945162955443e-07,35.169096669058824,64.83090333094115
2,0,1.7174004040886602e-05,2.4014851889640568e-06,1651.0416269782656,18.9054383908758,15.760713244340808,65.33384836478344,7.803849875098569e-08,5.822099490719434e-09,24.643893465721096,94.38842418547137,5.611575814528677,1.321767409768837e-07,9.587892893580177e-09,24.52693830407167,1.0878115163021025,98.9121884836979,1.0660338151130495,0.0140920004007972,1.3219087628946655,4.725515765326486,0.2373339789680092,4.376605089970156,1.1071646428571449,0.1,9.032080336483686,1.300122690228356,3.9071694638064582,1.439449873997148,0.1414461113116452,9.853460147999035,2.491456551724194,0.1778104021486091,2023-04-19 14:18:39.064222,2023-04-19 14:19:34.064413,1.937811238825081,2.6921085390200155,0.7542973001949345,1.2954304881577658e-05,3.550560132044219e-06,73.97137736074973,26.028622639250276
3,1,3.1424180290082745e-06,1.4710805302714684e-06,3418.625575188967,92.52523307432696,1.5782029542626348,5.896563971410454,1.1781400951753061e-08,5.663994041952867e-09,-13.825902183478828,99.84054678502076,0.1594532149792572,1.9964470370252e-08,9.587892893580177e-09,-13.844095714930532,1.0878115163021025,98.9121884836979,1.0659036530754955,0.0140983344788253,1.322664855138857,-3.437901442811297,0.2501490638944436,-2.124874834569609,1.3125118749999984,0.1,7.6189786854309505,1.8937669399330608,2.7538575924985453,2.4855915971445515,0.2008148588912937,8.123893650782588,7.530537058823577,0.1687087981863222,2023-04-19 14:20:05.063847,2023-04-19 14:21:00.063754,7.283203529411811,7.777870588235343,0.49466705882353246,1.554450684003565e-06,9.003349016313821e-07,34.67330238172826,65.32669761827174
4,1,2.0815824595697137e-05,3.303675970771043e-06,3885.674646741695,41.701608565031954,7.478466641048542,50.81992479391951,5.535536992107241e-08,5.721194682250528e-09,-72.73933952008362,97.81811712772482,2.181882872275176,9.380932714711924e-08,9.587892893580177e-09,-72.82416870557454,1.0878115163021025,98.9121884836979,1.0657531734575068,0.0140921393580914,1.322270123690497,-1.2962988496078462,0.2473860088519456,-1.289984683732243,1.0312560000000026,0.1,9.696913278565145,1.7502952946062411,2.8940134716475985,1.8050025243344583,0.1825533367567224,10.12487640480254,4.89136848484852,0.1464936665529506,2023-04-19 14:21:06.064591,2023-04-19 14:21:57.063312,4.587783131313161,5.043052319347359,0.45526918803419747,9.476803561945312e-06,3.4001411671139926e-06,80.43240234707048,19.567597652929507
5,1,1.7992452966568337e-05,2.6745219236375727e-06,687.4979868447864,75.96407658288291,9.506609621112265,14.529313796004828,3.878601803572035e-08,5.695110639279181e-09,33.4596506031624,98.73414009367904,1.2658599063209834,6.570818197166113e-08,9.587892893580177e-09,33.400115014062884,1.0878115163021025,98.9121884836979,1.0658332961102006,0.0140893059980547,1.3219046806060355,0.9924047901830386,0.2297077932519101,3.745728966190295,2.888875833333335,0.1,3.461554105100281,1.3913698312722629,6.725133879119174,4.01949468079152,0.2038878836866641,8.083585435224034,2.8927605263158367,0.1233865482505929,2023-04-19 14:22:01.064304,2023-04-19 14:23:02.064789,2.6921085390200155,3.068359878542551,0.37625133952253575,6.769684529967559e-06,2.437445980105146e-06,82.95572882621406,17.044271173785948
6,1,2.2556615242398483e-05,3.0715455243719594e-06,825.4635483880325,22.4393931151608,11.019665522130142,66.54094136270905,8.516835770745303e-08,5.793745646695921e-09,17.200073127824965,95.1841869141606,4.815813085839402,1.444335402730721e-07,9.587892893580177e-09,17.070788420939706,1.0878115163021025,98.9121884836979,1.0647692301571914,0.0140687165900832,1.3212918898877448,-0.1914090263931397,0.2234345964342541,-0.8565594181775597,1.0285921428571425,0.1,9.722026431412148,1.3967021104540642,3.662241174213871,1.4366368167250394,0.1490168237001811,10.401690327719356,1.230852777777822,0.4533988944786692,2023-04-19 14:23:05.063970,2023-04-19 14:24:06.064374,0.30771319444445555,1.307509351851895,0.9997961574074394,2.255201724346808e-05,1.0678250273571361e-05,91.72940701786743,8.270592982132554
7,1,1.8506023425236423e-05,2.533050743197637e-06,1605.5421003020206,15.0463973722869,11.018126197776445,73.93547642993666,8.156522358393794e-08,5.8419301388029825e-09,57.260124378638416,93.49766508377188,6.502334916228117,1.382337189006877e-07,9.587892893580177e-09,57.1386021334248,1.0878115163021025,98.9121884836979,1.0648925834546523,0.0140738855290068,1.3216244349603887,-3.935239420244937,0.231736534054708,-2.2405171278928964,1.0399836000000005,0.1,9.615536244994628,1.3315832287343818,3.871606675378799,1.3848247199188064,0.1431992303331445,10.386281511104633,3.2439592307692657,0.1188470491825898,2023-04-19 14:24:10.064446,2023-04-19 14:25:19.064551,3.068359878542551,3.7640785042735336,0.6957186257309824,1.2874985185150852e-05,2.8183271788753017e-06,60.90040824550421,39.099591754495776
8,2,1.363044982426803e-05,2.16717301130394e-06,862.1119544107006,36.48695851708973,8.895164480557794,54.61787700235247,5.0075620741281475e-08,5.7233777195696844e-09,44.26781903298103,97.7995013338812,2.2004986661187966,8.481144555169903e-08,9.587892893580177e-09,44.19132859048536,1.0878115163021025,98.9121884836979,1.0661296448530233,0.0140975600195661,1.3223118166771364,-2.841066965601643,0.2938060170097243,-1.9857645424197647,1.0588417058823538,0.1,9.444282317597985,1.7792816654670007,3.2329120970514538,1.8839776339082748,0.1864962128424179,10.103553626096538,4.284197777777801,0.1821809377013095,2023-04-19 14:25:35.063940,2023-04-19 14:26:25.064309,3.7640785042735336,4.587783131313161,0.8237046270396275,1.1227464588881054e-05,3.058257982999017e-06,65.92923050746415,34.07076949253587
9,2,1.229236196031974e-05,2.06142408040846e-06,3610.165842860461,39.62869081045223,11.021238539390176,49.35007065015758,4.5552351794020126e-08,5.7235501261828614e-09,-75.8819381890515,97.48798720480572,2.5120127951942823,7.730476201901856e-08,9.587892893580177e-09,-75.95124319916373,1.0878115163021025,98.9121884836979,1.0645177808528996,0.0140720426960404,1.3219161205211027,-3.3481905721239578,0.2306503177261365,-1.7510079672251708,1.1249844999999965,0.1,8.889011359712095,2.350513641986225,2.2230890720403944,2.644291414273044,0.2419639609697546,9.174694519031576,5.931717058823551,0.161992843297432,2023-04-19 14:26:29.064751,2023-04-19 14:27:13.064509,5.563226606334874,6.483793529411798,0.9205669230769242,1.131594182715937e-05,2.750701675095441e-06,52.4053170222975,47.594682977702504
10,2,1.8386672831082143e-05,2.9600621126638443e-06,1705.2360213430502,56.60170126899007,10.873791960403532,32.52450677060636,4.0450720109074146e-08,5.696014856710301e-09,33.126249169243984,98.48888782445182,1.5111121755481638,6.859420422654474e-08,9.587892893580177e-09,33.064240932817974,1.0878115163021025,98.9121884836979,1.0646903173395,0.0140682729616509,1.3213480453891775,-3.956810679728873,0.272456162945792,-3.2752084926957625,1.4230653461538447,0.1,7.027084193306552,1.70764203375919,2.958036089529187,2.430086201878377,0.185111467431291,7.629860831374013,1.384165925925968,0.1240941859819108,2023-04-19 14:27:20.064576,2023-04-19 14:28:14.064552,1.307509351851895,1.937811238825081,0.630301886973186,1.1589154580589687e-05,2.9473748660737266e-06,59.92919091230766,40.07080908769233
