Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC
2023-04-19 07:42:19.184490-07:00,0.0,4.46,-4.41,-0.23,0.63,18.8,887.32,48.36,84.0,0.0,-0.00226603,0.000716003,0.00100999,32.6911164,-103.075249,1153.76245,101.874733,-0.126345473,0.23765594,,,,,,,,,,,,,,2023-04-19 14:42:19.184490+00:00
2023-04-19 07:42:19.394306-07:00,0.209816,5.04,-5.0,-0.21,0.6,18.59,887.32,48.92,91.0,0.0,0.000871841,0.00055378,0.000729047,32.6911164,-103.075249,1153.75476,101.877559,-0.128981512,0.245461421,,,,,,,,,,,,,,2023-04-19 14:42:19.394306+00:00
2023-04-19 07:42:19.604317-07:00,0.419827,4.6,-4.56,0.08,0.63,18.82,887.32,48.28,87.0,0.0,-0.00105289,0.0021911,0.00213131,32.6911164,-103.075249,1153.75269,101.870308,-0.125900201,0.234627179,2.48027,94.3067,13392.0,26.5951,11642.0,0.946195,0.162529,14.0,-1180.0,74.0,,0.0,,2023-04-19 14:42:19.604317+00:00
2023-04-19 07:42:19.814369-07:00,0.629879,4.18,-4.17,-0.1,0.3,19.12,887.32,47.39,79.0,0.0,-0.00157924,0.00146309,0.00496664,32.6911164,-103.075249,1153.75281,101.875997,-0.132685237,0.248866089,,,,,,,,,,,,,,2023-04-19 14:42:19.814369+00:00
2023-04-19 07:42:20.024190-07:00,0.8397,3.8,-3.77,-0.37,0.24,18.9,887.32,48.04,80.0,0.0,-0.00143739,0.00216865,0.00467016,32.6911164,-103.075249,1153.74219,101.885401,-0.130969747,0.241225492,,,,,,,,,,,,,,2023-04-19 14:42:20.024190+00:00
2023-04-19 07:42:20.234428-07:00,1.049938,4.0,-3.95,-0.06,0.6,18.6,887.33,48.96,88.0,0.0,-0.00299178,0.00251771,0.00499513,32.6911164,-103.075249,1153.74438,101.888723,-0.129052464,0.245202192,,,,,,,,,,,,,,2023-04-19 14:42:20.234428+00:00
2023-04-19 07:42:20.444687-07:00,1.260197,2.48,-2.35,-0.66,0.42,19.3,887.33,46.85,91.0,0.0,-0.000545235,0.00165492,0.00694557,32.6911164,-103.075249,1153.73462,101.893516,-0.131430859,0.245905868,,,,,,,,,,,,,,2023-04-19 14:42:20.444687+00:00
2023-04-19 07:42:20.654287-07:00,1.469797,2.8,-2.74,0.2,0.57,18.46,887.35,49.44,83.0,0.0,-0.00297847,0.00277367,0.0061571,32.6911164,-103.075249,1153.72095,101.899165,-0.133298844,0.245787512,2.47935,94.7724,13368.8,26.5973,11689.0,0.957604,0.166339,12.0,-1229.0,74.0,,0.0,,2023-04-19 14:42:20.654287+00:00
2023-04-19 07:42:20.863505-07:00,1.679015,2.96,-2.87,0.58,0.39,18.11,887.33,50.48,78.0,0.0,-0.00153345,0.00269649,0.00511729,32.6911164,-103.075249,1153.71326,101.897633,-0.13600663,0.25296088,,,,,,,,,,,,,,2023-04-19 14:42:20.863505+00:00
2023-04-19 07:42:21.063001-07:00,1.878511,3.19,-3.15,0.23,0.48,18.46,887.34,49.32,83.0,0.0,-0.00211097,0.00148191,0.008109,32.6911164,-103.075249,1153.72083,101.900386,-0.134584362,0.246847589,,,,,,,,,,,,,,2023-04-19 14:42:21.063001+00:00
2023-04-19 07:42:21.263239-07:00,2.078749,3.37,-3.2,0.8,0.68,18.22,887.33,50.14,91.0,0.0,-6.64923e-05,-0.00013249,0.00758572,32.6911164,-103.075249,1153.71545,101.901658,-0.13619748,0.25404617,,,,,,,,,,,,,,2023-04-19 14:42:21.263239+00:00
2023-04-19 07:42:21.462916-07:00,2.278426,3.13,-2.99,0.74,0.53,18.22,887.32,50.23,87.0,0.0,0.00039313,0.000874465,0.00551095,32.6911164,-103.075249,1153.71155,101.903564,-0.135861679,0.249144929,,,,,,,,,,,,,,2023-04-19 14:42:21.462916+00:00
2023-04-19 07:42:21.663021-07:00,2.478531,3.65,-3.53,0.53,0.77,18.19,887.34,50.23,79.0,0.0,-0.00136573,0.00135179,0.00463794,32.6911164,-103.075249,1153.72217,101.908187,-0.131934198,0.247379068,2.48306,93.8564,13391.6,26.5991,11658.0,0.954747,0.157606,14.0,-1213.0,74.0,,0.0,,2023-04-19 14:42:21.663021+00:00
2023-04-19 07:42:21.863411-07:00,2.678921,3.67,-3.48,1.15,0.27,18.54,887.32,49.12,80.0,0.0,9.2251e-05,0.000496838,0.0035657,32.6911164,-103.075249,1153.72058,101.912983,-0.126525235,0.242414516,,,,,,,,,,,,,,2023-04-19 14:42:21.863411+00:00
2023-04-19 07:42:22.063372-07:00,2.878882,4.1,-3.97,0.89,0.49,18.29,887.32,49.91,88.0,0.0,-0.0012273,0.000645546,0.00258811,32.6911163,-103.075249,1153.72583,101.914905,-0.124265872,0.237679259,,,,,,,,,,,,,,2023-04-19 14:42:22.063372+00:00
2023-04-19 07:42:22.263210-07:00,3.07872,4.47,-4.24,1.05,0.98,18.06,887.32,50.63,91.0,0.0,0.000151608,-0.00015271,0.00275285,32.6911163,-103.075249,1153.73169,101.924125,-0.121635607,0.236870221,,,,,,,,,,,,,,2023-04-19 14:42:22.263210+00:00
2023-04-19 07:42:22.463365-07:00,3.278875,4.1,-3.98,0.37,0.9,17.49,887.3,52.48,83.0,0.0,-0.000382251,0.000282473,0.00299743,32.6911162,-103.075249,1153.74292,101.934731,-0.123910334,0.234844839,,,,,,,,,,,,,,2023-04-19 14:42:22.463365+00:00
2023-04-19 07:42:22.663815-07:00,3.479325,4.06,-4.04,0.04,0.41,18.03,887.29,50.78,78.0,0.0,-0.000967973,0.000304015,0.00364594,32.6911162,-103.075249,1153.74951,101.936909,-0.124018288,0.242432632,,,,,,,,,,,,,,2023-04-19 14:42:22.663815+00:00
2023-04-19 07:42:22.862975-07:00,3.678485,2.38,-2.36,-0.1,-0.31,18.72,887.3,48.59,83.0,0.0,0.000127323,0.000321984,0.00269965,32.6911162,-103.075249,1153.75427,101.937637,-0.124552535,0.243787529,,,,,,,,,,,,,,2023-04-19 14:42:22.862975+00:00
2023-04-19 07:42:23.063351-07:00,3.878861,2.79,-2.76,0.4,0.0,18.32,887.31,49.88,91.0,0.0,5.09747e-05,5.58828e-06,0.00188875,32.6911162,-103.075249,1153.75635,101.941404,-0.12626109,0.24309698,,,,,,,,,,,,,,2023-04-19 14:42:23.063351+00:00
2023-04-19 07:42:23.263029-07:00,4.078539,4.48,-4.44,0.17,0.59,18.08,887.31,50.64,88.0,0.0,-0.00110727,-0.000127478,0.000754464,32.6911163,-103.075249,1153.75684,101.943495,-0.128336629,0.244145504,,,,,,,,,,,,,,2023-04-19 14:42:23.263029+00:00
2023-04-19 07:42:23.462914-07:00,4.278424,3.77,-3.76,0.26,0.24,18.21,887.32,50.23,80.0,0.0,-0.000415252,0.000619231,-0.000389983,32.6911163,-103.075249,1153.75623,101.945117,-0.12891196,0.246342791,,,,,,,,,,,,,,2023-04-19 14:42:23.462914+00:00
