Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H2O,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6
2023-08-31 10:50:14.175957-07:00,0.0,1.62,0.18,1.6,-0.23,26.5,862.91,56.58,28.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:14.175957+00:00,1.0031966414054838,0.013416087424651085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:14.376592-07:00,0.200635,1.81,0.15,1.8,-0.16,26.16,862.91,57.84,26.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:14.376592+00:00,1.0043362186266855,0.013435129388341616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:14.576566-07:00,0.400609,2.27,0.32,2.25,-0.08,25.85,862.92,58.79,22.0,-1.0,,,,,,,,,,1.87018,14.6826,18291.1,34.9991,,-0.291028,-1.0,,,,,,,2023-08-31 17:50:14.576566+00:00,1.005389154681724,0.013452578259548223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:14.776302-07:00,0.600345,2.32,0.31,2.29,-0.16,25.8,862.91,59.17,19.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:14.776302+00:00,1.0055456551167528,0.013455351662277272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:14.976497-07:00,0.80054,2.26,-0.41,2.22,-0.13,25.19,862.91,61.2,19.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:14.976497+00:00,1.0076016410711044,0.013489759302479377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:15.175825-07:00,0.999868,2.18,-0.14,2.17,-0.01,25.4,862.91,60.57,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:15.175825+00:00,1.006892894313024,0.013477893808605406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:15.376188-07:00,1.200231,2.34,-0.21,2.32,-0.07,25.34,862.91,60.8,25.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:15.376188+00:00,1.0070952916250238,0.013481281776855559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:15.576102-07:00,1.400145,2.4,-0.69,2.28,0.23,24.64,862.9,63.38,28.0,-1.0,,,,,,,,,,1.87145,14.2195,18429.6,35.0026,,-0.301284,-1.0,,,,,,,2023-08-31 17:50:15.576102+00:00,1.0094509216040537,0.013520897416701073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:15.775695-07:00,1.599738,2.24,-0.53,2.17,0.09,24.87,862.89,62.57,26.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:15.775695+00:00,1.0086601781484095,0.013507802459192433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:15.975905-07:00,1.799948,2.42,-0.24,2.41,-0.08,24.75,862.91,63.04,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:15.975905+00:00,1.009089874444959,0.013514689558214157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:16.175942-07:00,1.999985,2.36,-0.37,2.33,-0.08,25.06,862.9,61.82,19.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:16.175942+00:00,1.0080292074191715,0.013497076048858426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:16.376289-07:00,2.200332,2.5,-0.91,2.32,0.23,25.32,862.9,60.97,19.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:16.376289+00:00,1.0071511037775023,0.013482372336470707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:16.576686-07:00,2.400729,2.39,-0.81,2.24,0.22,25.17,862.9,61.53,21.0,-1.0,,,,,,,,,,1.87224,14.1055,18159.3,35.0059,,-0.338351,-1.0,,,,,,,2023-08-31 17:50:16.576686+00:00,1.0076575152335447,0.013490851257531062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:16.776548-07:00,2.600591,1.86,-0.81,1.66,0.18,25.44,862.9,60.59,24.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:16.776548+00:00,1.0067463409507054,0.013475597021836698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:16.975750-07:00,2.799793,1.97,-0.74,1.81,0.27,25.35,862.89,60.83,28.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:16.975750+00:00,1.0070382120327936,0.013480638718404745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:17.175814-07:00,2.999857,1.86,-0.76,1.69,0.19,25.79,862.9,59.42,24.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:17.175814+00:00,1.0055676388053492,0.013455875298373228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:17.376665-07:00,3.200708,1.58,-0.79,1.36,-0.17,25.62,862.9,60.05,21.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,2023-08-31 17:50:17.376665+00:00,1.0061398063542897,0.013465447062172464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 10:50:17.576424-07:00,3.400467,0.92,-0.8,0.37,0.25,25.71,862.91,59.72,20.0,-1.0,,,,,,,,,,1.88069,14.2746,17988.9,35.0089,,-0.509631,-1.0,,,,,,,2023-08-31 17:50:17.576424+00:00,1.0058484695079746,0.01346041693713627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
