Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H2O,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC
2023-08-31 10:28:37.310664-07:00,0.0,1.53,-0.73,1.31,0.3,24.52,863.13,75.22,25.0,0.0,0.00635487,-0.00526631,-0.0238235,34.0613486,-106.883428,1396.43201,-43.3450465,0.150430663,-0.582274792,,,,,,,,,,,,,,2023-08-31 17:28:37.310664+00:00
2023-08-31 10:28:37.520900-07:00,0.210236,1.61,-0.98,1.24,0.29,24.11,863.11,77.1,21.0,0.0,0.00458002,-0.00255597,-0.0280004,34.0613485,-106.883428,1396.41724,-43.3375337,0.156063383,-0.539612292,,,,,,,,,,,,,,2023-08-31 17:28:37.520900+00:00
2023-08-31 10:28:37.731225-07:00,0.420561,1.91,-1.1,1.53,0.36,24.21,863.13,76.65,24.0,0.0,0.00467687,-0.00321938,-0.0234804,34.0613485,-106.883428,1396.43713,-43.3234332,0.162728644,-0.487351133,,,,,,,,,,,,,,2023-08-31 17:28:37.731225+00:00
2023-08-31 10:28:37.941351-07:00,0.630687,1.97,-0.96,1.7,0.29,24.1,863.11,77.15,29.0,0.0,0.00905334,-0.00560426,-0.0222523,34.0613484,-106.883428,1396.40149,-43.309514,0.156046515,-0.52221564,,,,,,,,,,,,,,2023-08-31 17:28:37.941351+00:00
2023-08-31 10:28:38.151520-07:00,0.840856,1.74,-0.71,1.56,0.31,24.52,863.1,75.46,24.0,0.0,0.00914338,-0.00620198,-0.0319329,34.0613483,-106.883428,1396.3949,-43.2973453,0.163106541,-0.574290054,,,,,,,,,,,,,,2023-08-31 17:28:38.151520+00:00
2023-08-31 10:28:38.361090-07:00,1.050426,1.5,-0.61,1.35,0.2,24.8,863.13,73.96,21.0,0.0,0.00748055,-0.00253287,-0.0370407,34.0613482,-106.883428,1396.36951,-43.2930879,0.159017405,-0.531770411,,,,,,,,,,,,,,2023-08-31 17:28:38.361090+00:00
2023-08-31 10:28:38.571221-07:00,1.260557,1.52,-0.61,1.38,0.2,24.87,863.11,73.62,27.0,0.0,0.00741203,-0.00479397,-0.0365751,34.0613482,-106.883428,1396.4054,-43.2775055,0.165282674,-0.524052717,,,,,,,,,,,,,,2023-08-31 17:28:38.571221+00:00
2023-08-31 10:28:38.775786-07:00,1.465122,2.06,-0.89,1.84,0.25,24.0,863.12,77.6,28.0,0.0,0.0137133,-0.00854017,-0.0249615,34.0613482,-106.883428,1396.38904,-43.2787778,0.160970063,-0.566921142,,,,,,,,,,,,,,2023-08-31 17:28:38.775786+00:00
2023-08-31 10:28:38.976370-07:00,1.665706,2.01,-1.02,1.69,0.36,24.07,863.11,77.29,23.0,0.0,0.0079516,-0.000961003,-0.0405075,34.0613482,-106.883428,1396.33386,-43.2502473,0.15904287,-0.547747733,1.84566,24.0121,19045.7,29.0409,,-0.708667,-1.0,,,,,,,2023-08-31 17:28:38.976370+00:00
2023-08-31 10:28:39.176481-07:00,1.865817,1.79,-0.89,1.52,0.34,24.0,863.11,77.67,22.0,0.0,0.0104683,-0.00378893,-0.0536808,34.0613481,-106.883428,1396.3269,-43.2462117,0.164743665,-0.504607826,,,,,,,,,,,,,,2023-08-31 17:28:39.176481+00:00
2023-08-31 10:28:39.375915-07:00,2.065251,2.27,-1.31,1.82,0.38,23.74,863.11,79.0,28.0,0.0,0.0123334,-0.00460797,-0.0579739,34.0613481,-106.883428,1396.31372,-43.2399998,0.163336989,-0.559874073,,,,,,,,,,,,,,2023-08-31 17:28:39.375915+00:00
2023-08-31 10:28:39.576267-07:00,2.265603,2.27,-1.28,1.84,0.37,23.69,863.12,79.37,27.0,0.0,0.0103535,-0.00301729,-0.060322,34.061348,-106.883428,1396.29065,-43.2256419,0.159636549,-0.576564888,,,,,,,,,,,,,,2023-08-31 17:28:39.576267+00:00
2023-08-31 10:28:39.776280-07:00,2.465616,1.98,-0.97,1.69,0.36,23.86,863.11,78.48,22.0,0.0,0.0113242,-0.00564282,-0.0578276,34.0613479,-106.883428,1396.29846,-43.2157854,0.163432233,-0.536996641,,,,,,,,,,,,,,2023-08-31 17:28:39.776280+00:00
2023-08-31 10:28:39.976223-07:00,2.665559,1.81,-0.9,1.55,0.31,23.84,863.11,78.64,23.0,0.0,0.013363,-0.00759348,-0.0719249,34.0613479,-106.883427,1396.21509,-43.2056232,0.16463635,-0.554106346,1.84353,23.5033,19015.5,29.0509,,-0.698121,-1.0,,,,,,,2023-08-31 17:28:39.976223+00:00
2023-08-31 10:28:40.176538-07:00,2.865874,1.76,-0.94,1.44,0.36,24.1,863.12,77.38,30.0,0.0,0.0135212,-0.00696552,-0.0739227,34.0613478,-106.883427,1396.24268,-43.1963556,0.162880978,-0.574514341,,,,,,,,,,,,,,2023-08-31 17:28:40.176538+00:00
2023-08-31 10:28:40.375938-07:00,3.065274,1.99,-0.79,1.79,0.32,24.06,863.12,77.49,25.0,0.0,0.0131813,-0.00430259,-0.0564504,34.0613478,-106.883427,1396.30493,-43.1902517,0.162774063,-0.543655731,,,,,,,,,,,,,,2023-08-31 17:28:40.375938+00:00
2023-08-31 10:28:40.576563-07:00,3.265899,2.01,-0.86,1.79,0.32,24.16,863.12,77.03,21.0,0.0,0.0154829,-0.00625383,-0.0417931,34.0613477,-106.883427,1396.28296,-43.1787331,0.161644071,-0.555718987,,,,,,,,,,,,,,2023-08-31 17:28:40.576563+00:00
2023-08-31 10:28:40.776348-07:00,3.465684,1.92,-0.9,1.67,0.29,24.26,863.11,76.63,25.0,0.0,0.00700158,-0.003706,-0.0394152,34.0613477,-106.883427,1396.28345,-43.1659755,0.162789783,-0.572234437,,,,,,,,,,,,,,2023-08-31 17:28:40.776348+00:00
2023-08-31 10:28:40.976328-07:00,3.665664,1.77,-0.65,1.63,0.22,24.35,863.12,76.32,30.0,0.0,0.00216601,-0.00169544,-0.0270235,34.0613476,-106.883427,1396.29053,-43.1517642,0.160340161,-0.557826573,1.84448,23.6982,18990.7,29.0608,,-0.697072,-1.0,,,,,,,2023-08-31 17:28:40.976328+00:00
2023-08-31 10:28:41.176572-07:00,3.865908,1.72,-0.79,1.5,0.33,24.51,863.11,75.49,24.0,0.0,0.00248721,-0.00250759,-0.022585,34.0613476,-106.883427,1396.28406,-43.1398966,0.157314543,-0.565679374,,,,,,,,,,,,,,2023-08-31 17:28:41.176572+00:00
2023-08-31 10:28:41.375828-07:00,4.065164,1.83,-0.85,1.59,0.31,24.55,863.11,74.48,21.0,0.0,0.00234423,-0.00215598,-0.0132627,34.0613476,-106.883427,1396.27295,-43.1301869,0.159064912,-0.573366171,,,,,,,,,,,,,,2023-08-31 17:28:41.375828+00:00
2023-08-31 10:28:41.576446-07:00,4.265782,1.95,-0.74,1.79,0.23,24.43,863.11,75.93,27.0,0.0,0.0018236,-0.00168201,-0.00985877,34.0613476,-106.883427,1396.28516,-43.1208685,0.161578006,-0.560901746,,,,,,,,,,,,,,2023-08-31 17:28:41.576446+00:00
2023-08-31 10:28:41.775971-07:00,4.465307,2.1,-0.69,1.96,0.27,24.3,863.11,76.54,28.0,0.0,0.0024259,-0.00222854,-0.00735376,34.0613475,-106.883427,1396.28101,-43.1117581,0.159338286,-0.559024528,,,,,,,,,,,,,,2023-08-31 17:28:41.775971+00:00
2023-08-31 10:28:41.976593-07:00,4.665929,2.01,-0.87,1.79,0.23,24.57,863.12,75.38,22.0,0.0,0.00245507,-0.0018077,-0.0013302,34.0613474,-106.883427,1396.30457,-43.0995817,0.157417027,-0.565104009,1.84556,23.0779,18881.3,29.0713,,-0.664588,-1.0,,,,,,,2023-08-31 17:28:41.976593+00:00
2023-08-31 10:28:42.176343-07:00,4.865679,1.82,-0.8,1.62,0.25,24.55,863.11,75.39,22.0,0.0,0.00178484,-0.00111164,-0.0025522,34.0613474,-106.883427,1396.29431,-43.0887454,0.158364661,-0.555424208,,,,,,,,,,,,,,2023-08-31 17:28:42.176343+00:00
2023-08-31 10:28:42.376519-07:00,5.065855,2.28,-0.71,2.16,0.19,24.19,863.1,77.04,29.0,0.0,0.00279458,-0.00222275,-0.00236292,34.0613474,-106.883427,1396.26953,-43.0779154,0.15664982,-0.551756332,,,,,,,,,,,,,,2023-08-31 17:28:42.376519+00:00
2023-08-31 10:28:42.576635-07:00,5.265971,2.01,-0.51,1.95,0.11,24.23,863.11,76.91,27.0,0.0,0.00187737,-0.0016001,-0.00217239,34.0613473,-106.883427,1396.28357,-43.0679239,0.156683945,-0.559895525,,,,,,,,,,,,,,2023-08-31 17:28:42.576635+00:00
2023-08-31 10:28:42.776280-07:00,5.465616,1.76,-0.7,1.6,0.22,24.48,863.12,75.78,21.0,0.0,0.00206426,-0.00136541,0.000297596,34.0613473,-106.883427,1396.27686,-43.0568941,0.157418756,-0.547671104,,,,,,,,,,,,,,2023-08-31 17:28:42.776280+00:00
2023-08-31 10:28:42.975752-07:00,5.665088,1.71,-0.54,1.62,0.13,24.63,863.12,75.12,23.0,0.0,0.00197962,-0.00185217,0.00124028,34.0613472,-106.883427,1396.2782,-43.0504741,0.15925999,-0.542885699,,,,,,,,,,,,,,2023-08-31 17:28:42.975752+00:00
2023-08-31 10:28:43.176524-07:00,5.86586,1.67,-0.41,1.61,0.02,24.78,863.12,74.44,29.0,0.0,0.00156126,-0.00119536,-0.00176941,34.0613472,-106.883427,1396.27588,-43.0429371,0.160183949,-0.55312238,,,,,,,,,,,,,,2023-08-31 17:28:43.176524+00:00
