Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,nan,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6
2023-06-06 10:45:32.537535-07:00,0.0,2.65,0.49,2.52,0.64,22.27,862.02,57.8,36.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:32.537535+00:00,1.016511503989033,0.01365339904711074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:32.748072-07:00,0.210537,2.38,0.03,2.34,0.47,23.3,862.04,54.31,40.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:32.748072+00:00,1.0130031904665355,0.013594046449384216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:32.958259-07:00,0.420724,2.29,0.87,2.03,0.6,23.01,862.04,55.28,33.0,-1.0,,,,,,,,,,,1.87206,19.4917,16099.9,28.2989,11931.0,0.398814,-1.0,22.0,-1280.0,94.0,,0.0,2023-06-06 10:45:26.924,2023-06-06 17:45:32.958259+00:00,1.0139951236284592,0.013610726624674552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:33.167728-07:00,0.630193,2.22,1.23,1.66,0.81,23.49,862.03,53.71,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:33.167728+00:00,1.0123426111148943,0.013583100852157415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:33.378079-07:00,0.840544,3.47,1.73,2.95,0.61,23.33,862.04,54.21,38.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:33.378079+00:00,1.0129006874453739,0.013592323292471252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:33.587536-07:00,1.050001,4.09,1.98,3.49,0.79,22.61,861.98,56.7,37.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:33.587536+00:00,1.0152958273522836,0.013633561683616008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:33.791549-07:00,1.254014,3.1,0.93,2.84,0.81,23.8,861.99,52.7,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:33.791549+00:00,1.0112388535120176,0.013565186835857154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:33.992193-07:00,1.454658,3.85,-0.64,3.78,0.27,23.52,862.04,53.6,33.0,-1.0,,,,,,,,,,,1.87455,20.2978,15986.4,28.3047,11890.0,0.3885,-1.0,20.0,-1271.0,94.0,,0.0,2023-06-06 10:45:27.948,2023-06-06 17:45:33.992193+00:00,1.0122519830579584,0.01358142029912814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:34.192256-07:00,1.654721,5.79,-0.68,5.75,-0.15,20.24,862.03,65.49,40.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:34.192256+00:00,1.023556740724368,0.013772138041669794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 10:45:34.391907-07:00,1.854372,7.69,-0.21,7.66,-0.72,20.07,861.99,66.22,35.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,2023-06-06 17:45:34.391907+00:00,1.0241026449437065,0.013782009542715558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
