Source Type,F_tot[CH4] (kg/hr),F_tot[CH4] Error (kg/hr),F_tot[C2H6] (kg/hr),F_tot[C2H6] Error (kg/hr),Wind_Speed_avg (m/s),Wind_Direction_avg (deg),Temperature_avg (C),Pressure_avg (C),Transects,Duration (min),Date,Data Location
Controlled Release,1342.623724,233.644799,25.830538,8.943183000000001,2.629,391.115,12.746,969.93,10,17:59,11/15/2022,./data/00_Controlled_Release
Controlled Release,22.90418,3.021161,1.475343,0.431135,4.274,318.916,11.163,974.844,7,28:29,11/16/2022,./data/01_Controlled_Release
Controlled Release,15.299878000000001,2.1201909999999997,0.961781,0.28094,4.546,363.896,15.123,974.178,7,10:59,11/16/2022,./data/02_Controlled_Release
Controlled Release,14.43834,1.970056,0.8760760000000001,0.258659,3.396,325.529,16.768,967.955,8,27:59,11/15/2022,./data/03_Controlled_Release
Controlled Release,5.630446,1.184436,0.345262,0.15302500000000002,1.566,334.239,11.353,970.613,12,49:59,11/15/2022,./data/04_Controlled_Release
Controlled Release,4.153928,0.557011,0.26414299999999996,0.096042,5.078,333.455,12.756,974.861,11,24:58,11/16/2022,./data/05_Controlled_Release
Controlled Release,3.563662,0.47886500000000004,0.218296,0.09403700000000001,4.634,356.215,13.757,974.928,6,03:14,11/16/2022,./data/06_Controlled_Release
Controlled Release,1.62886,0.29685700000000004,0.0995,0.043495,3.495,333.835,15.307,968.808,15,11:16,11/15/2022,./data/07_Controlled_Release
Municipal Waste Facility,6.475766,1.144506,,,3.779,354.24,19.749,862.675,10,29:59,08/31/2022,./data/08_Municipal_Waste_Facility
Municipal Waste Facility,3.625277,1.3405630000000002,,,4.768,337.921,18.944,862.699,8,48:19,08/31/2022,./data/09_Municipal_Waste_Facility
Municipal Waste Facility,3.2791460000000003,0.9030090000000001,,,7.142,326.792,26.112,858.188,6,33:49,08/10/2023,./data/10_Municipal_Waste_Facility
Municipal Waste Facility,1.336358,0.265031,,,3.508,323.995,24.191,856.603,6,09:19,06/29/2023,./data/11_Municipal_Waste_Facility
Municipal Waste Facility,1.3310760000000001,0.29351700000000003,,,5.519,318.264,7.601,867.536,6,27:29,10/28/2022,./data/12_Municipal_Waste_Facility
Permian Orphan Well,0.373603,0.104539,0.084792,0.064346,9.375,218.891,22.129,886.126,4,08:49,04/19/2023,./data/13_Permian_Orphan_Well
Permian Orphan Well,0.378361,0.07386,0.104661,0.037503,5.948,182.634,16.715,886.724,11,28:14,04/19/2023,./data/14_Permian_Orphan_Well
Permian Orphan Well,0.367505,0.099106,0.088884,0.051079,5.775,209.306,17.655,886.73,7,55:29,04/19/2023,./data/15_Permian_Orphan_Well
Waste Water Treatment,0.06624200000000001,0.053257,,,2.122,229.978,9.48,855.926,8,36:29,02/28/2023,./data/16_Waste_Water_Treatment
Waste Water Treatment,0.061087,0.032483,,,4.629,136.367,24.195,862.232,3,03:59,08/31/2023,./data/17_Waste_Water_Treatment
Waste Water Treatment,0.04562,0.047289000000000005,,,4.151,136.571,24.027,862.456,7,46:19,08/31/2023,./data/18_Waste_Water_Treatment
Waste Water Treatment,0.041782,0.035294,,,6.994,152.839,20.636,860.839,13,02:10,06/06/2023,./data/19_Waste_Water_Treatment
